fisier,pitch,nota
A3#_10.wav,234.5744681,A#3
A3#_5.wav,234.5744681,A#3
A3#_6.wav,234.5744681,A#3
A3#_7.wav,234.5744681,A#3
A3#_8.wav,234.5744681,A#3
A3#_9.wav,232.1052632,A#3
A3_10.wav,220.5,A3
A3_5.wav,220.5,A3
A3_6.wav,220.5,A3
A3_7.wav,220.5,A3
A3_8.wav,220.5,A3
A3_9.wav,220.5,A3
A4#_10.wav,469.1489362,A#4
A4#_5.wav,469.1489362,A#4
A4#_6.wav,469.1489362,A#4
A4#_7.wav,469.1489362,A#4
A4#_8.wav,469.1489362,A#4
A4#_9.wav,469.1489362,A#4
A4#_v2.wav,479.3478261,A#4
A4_10.wav,441,A4
A4_5.wav,441,A4
A4_6.wav,441,A4
A4_7.wav,441,A4
A4_8.wav,441,A4
A4_9.wav,441,A4
A4_v2.wav,432.3529412,A4
A5#_10.wav,918.75,A#5
A5#_5.wav,469.1489362,A#4
A5#_6.wav,918.75,A#5
A5#_7.wav,469.1489362,A#4
A5#_8.wav,469.1489362,A#4
A5#_9.wav,310.5633803,D#4
A5_10.wav,882,A5
A5_5.wav,882,A5
A5_6.wav,882,A5
A5_7.wav,882,A5
A5_8.wav,882,A5
A5_9.wav,882,A5
B3_10.wav,247.752809,B3
B3_5.wav,247.752809,B3
B3_6.wav,247.752809,B3
B3_7.wav,247.752809,B3
B3_8.wav,247.752809,B3
B3_9.wav,247.752809,B3
B4_10.wav,501.1363636,B4
B4_6.wav,501.1363636,B4
B4_7.wav,501.1363636,B4
B4_8.wav,501.1363636,B4
B4_9.wav,490,B4
B4_v2.wav,490,B4
B5_10.wav,1002.272727,B5
B5_5.wav,1002.272727,B5
B5_6.wav,1002.272727,B5
B5_7.wav,1002.272727,B5
B5_8.wav,1002.272727,B5
B5_9.wav,1002.272727,B5
C3#_10.wav,138.6792453,C#3
C3#_5.wav,138.6792453,C#3
C3#_6.wav,138.6792453,C#3
C3#_7.wav,138.6792453,C#3
C3#_8.wav,138.6792453,C#3
C3#_9.wav,138.6792453,C#3
C3_10.wav,131.25,C3
C3_5.wav,131.25,C3
C3_6.wav,131.25,C3
C3_7.wav,131.25,C3
