fisier,pitch,nota
A3#_10.wav,234.5919125,A#3
A3#_5.wav,234.6014183,A#3
A3#_6.wav,234.6018205,A#3
A3#_7.wav,234.5898682,A#3
A3#_8.wav,234.6014183,A#3
A3#_9.wav,116.070745,A#2
A3_10.wav,220.5163977,A3
A3_5.wav,220.5287109,A3
A3_6.wav,220.5282403,A3
A3_7.wav,220.5152447,A3
A3_8.wav,220.5287109,A3
A3_9.wav,220.5393258,A3
A4#_10.wav,459.4137756,A#4
A4#_5.wav,459.4414605,A#4
A4#_6.wav,459.4116211,A#4
A4#_7.wav,459.4228167,A#4
A4#_8.wav,459.4312477,A#4
A4#_9.wav,116.0671255,A#2
A4#_v2.wav,479.3783831,A#4
A4_10.wav,441.0313055,A4
A4_5.wav,441.0638021,A4
A4_6.wav,441.0351563,A4
A4_7.wav,441.043037,A4
A4_8.wav,441.067154,A4
A4_9.wav,441.0764696,A4
A4_v2.wav,424.0728607,G#4
A5#_10.wav,306.2633664,D#4
A5#_5.wav,186.8852622,F#3
A5#_6.wav,306.2732289,D#4
A5#_7.wav,116.0617898,A#2
A5#_8.wav,459.4323717,A#4
A5#_9.wav,116.0691,A#2
A5_10.wav,848.1652001,G#5
A5_5.wav,848.1973885,G#5
A5_6.wav,848.1360802,G#5
A5_7.wav,848.1623544,G#5
A5_8.wav,848.2092903,G#5
A5_9.wav,848.1972689,G#5
B3_10.wav,245.0182197,B3
B3_5.wav,245.0294471,B3
B3_6.wav,245.0324417,B3
B3_7.wav,245.0187653,B3
B3_8.wav,245.0303819,B3
B3_9.wav,245.0413363,B3
B4_10.wav,501.171938,B4
B4_6.wav,501.1803538,B4
B4_7.wav,501.1789194,B4
B4_8.wav,245.0373078,B3
B4_9.wav,245.031872,B3
B4_v2.wav,479.3940595,A#4
B5_10.wav,282.7212513,C#4
B5_5.wav,250.5965523,B3
B5_6.wav,324.2890647,E4
B5_7.wav,141.3608667,C#3
B5_8.wav,245.0355743,B3
B5_9.wav,282.7262566,C#4
C3#_10.wav,137.8199252,C#3
C3#_5.wav,137.8313888,C#3
C3#_6.wav,137.8276642,C#3
C3#_7.wav,137.822028,C#3
C3#_8.wav,137.8359057,C#3
C3#_9.wav,137.8483234,C#3
C3_10.wav,131.2567907,C3
C3_5.wav,131.2646484,C3
C3_6.wav,131.2655362,C3
C3_7.wav,131.2613932,C3
C3_8.wav,131.2625048,C3
C3_9.wav,129.7234887,C3
C4#_10.wav,282.7212513,C#4
C4#_5.wav,275.6648763,C#4
C4#_6.wav,275.6497508,C#4
C4#_7.wav,137.8237152,C#3
C4#_8.wav,275.6634521,C#4
C4#_9.wav,137.8402456,C#3
C4#_v2.wav,155.2894171,D#3
C4_10.wav,262.5227726,C4
C4_5.wav,262.5315505,C4
C4_6.wav,262.5235722,C4
C4_7.wav,262.519347,C4
C4_8.wav,262.5277133,C4
C4_9.wav,262.5420202,C4
C4_v2.wav,268.9147244,C4
C5#_10.wav,551.2900414,C#5
C5#_5.wav,183.770219,F#3
C5#_6.wav,551.3031684,C#5
C5#_7.wav,551.3037962,C#5
C5#_8.wav,183.7729487,F#3
C5#_9.wav,551.3248269,C#5
C5_10.wav,525.044315,C5
C5_5.wav,525.0707166,C5
C5_6.wav,525.0353583,C5
C5_7.wav,525.0630479,C5
C5_8.wav,525.0575216,C5
C5_9.wav,525.0682971,C5
C6_10.wav,424.0752704,G#4
C6_5.wav,918.8716565,A#5
C6_6.wav,1102.588797,C#6
C6_7.wav,1102.679443,C#6
C6_8.wav,1102.634994,C#6
C6_9.wav,1102.611061,C#6
D3#_10.wav,157.5097421,D#3
D3#_5.wav,155.2978653,D#3
D3#_6.wav,155.2978653,D#3
D3#_7.wav,157.5123047,D#3
D3#_8.wav,155.3012569,D#3
D3#_9.wav,155.3053359,D#3
D3_10.wav,147.0090926,D3
D3_5.wav,147.015111,D3
D3_6.wav,147.015111,D3
D3_7.wav,147.0095703,D3
D3_8.wav,147.0234375,D3
D3_9.wav,147.0235313,D3
D4#_10.wav,315.0255537,D#4
D4#_5.wav,315.0390625,D#4
D4#_6.wav,315.0296498,D#4
D4#_7.wav,315.0201716,D#4
D4#_8.wav,315.0479671,D#4
D4#_9.wav,155.2978535,D#3
D4#_v2.wav,155.2930279,D#3
D4_10.wav,297.9962394,D4
D4_5.wav,298.0057605,D4
D4_6.wav,290.1639597,D4
D4_7.wav,297.9920542,D4
D4_8.wav,298.0057605,D4
D4_9.wav,147.0166913,D3
D4_v2.wav,290.1556923,D4
D5#_10.wav,612.5579635,D#5
D5#_5.wav,208.0455097,G#3
D5#_6.wav,612.5493315,D#5
D5#_7.wav,208.0412669,G#3
D5#_8.wav,208.0424208,G#3
D5#_9.wav,123.8910005,B2
D5_10.wav,580.3146727,D5
D5_5.wav,612.5693501,D#5
D5_6.wav,612.5435014,D#5
D5_7.wav,612.549051,D#5
D5_8.wav,298.0080823,D4
D5_9.wav,147.0191232,D3
E3_10.wav,164.5632265,E3
E3_5.wav,164.5714263,E3
E3_6.wav,164.5671872,E3
E3_7.wav,164.5638205,E3
E3_8.wav,164.5744037,E3
E3_9.wav,164.577922,E3
E4_10.wav,324.3396457,E4
E4_5.wav,334.1336974,E4
E4_6.wav,324.2994089,E4
E4_7.wav,334.1248063,E4
E4_8.wav,334.1157541,E4
E4_9.wav,324.3008679,E4
E4_v2.wav,324.2819393,E4
E5_10.wav,324.2990305,E4
E5_5.wav,220.5246094,A3
E5_6.wav,324.287736,E4
E5_7.wav,131.2643804,C3
E5_8.wav,220.5299308,A3
E5_9.wav,648.5889809,E5
F3#_10.wav,183.7630439,F#3
F3#_5.wav,186.89095,F#3
F3#_6.wav,186.8828863,F#3
F3#_7.wav,183.764074,F#3
F3#_8.wav,186.8844051,F#3
F3#_9.wav,183.7818623,F#3
F3_10.wav,175.0139509,F3
F3_5.wav,175.0195313,F3
F3_6.wav,175.0220514,F3
F3_7.wav,175.012429,F3
F3_8.wav,175.0198143,F3
F3_9.wav,175.0280134,F3
F4#_10.wav,367.5337559,F#4
F4#_5.wav,367.5531684,F#4
F4#_6.wav,367.5341797,F#4
F4#_7.wav,183.7647995,F#3
F4#_8.wav,183.7770858,F#3
F4#_9.wav,183.7749423,F#3
F4#_v2.wav,367.5260879,F#4
F4_10.wav,175.0145748,F3
F4_5.wav,344.5746637,F4
F4_6.wav,175.015024,F3
F4_7.wav,344.5638545,F4
F4_8.wav,344.5780168,F4
F4_9.wav,175.0287498,F3
F4_v2.wav,344.5502053,F4
F5#_10.wav,735.0805303,F#5
F5#_5.wav,250.6037739,B3
F5#_6.wav,735.0552133,F#5
F5#_7.wav,735.0695562,F#5
F5#_8.wav,245.031872,B3
F5#_9.wav,735.095616,F#5
F5_10.wav,344.5624378,F4
F5_5.wav,355.6803319,F4
F5_6.wav,344.5554991,F4
F5_7.wav,344.5683482,F4
F5_8.wav,344.5683482,F4
F5_9.wav,344.5648726,F4
G3#_10.wav,208.0361927,G#3
G3#_5.wav,208.0424208,G#3
G3#_6.wav,208.0408294,G#3
G3#_7.wav,208.0339156,G#3
G3#_8.wav,208.0394394,G#3
G3#_9.wav,208.0570575,G#3
G3_10.wav,196.8916181,G3
G3_5.wav,196.8960697,G3
G3_6.wav,196.8939887,G3
G3_7.wav,196.8873047,G3
G3_8.wav,196.8994141,G3
G3_9.wav,193.4545919,G3
G4#_10.wav,408.3765569,G#4
G4#_5.wav,424.0910457,G#4
G4#_6.wav,208.0322989,G#3
G4#_7.wav,408.3652169,G#4
G4#_8.wav,408.3814461,G#4
G4#_9.wav,208.0521669,G#3
G4#_v2.wav,408.3665636,G#4
G4_10.wav,393.7856432,G4
