pitch,nota
262.5,C4
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
132.0359281,C3
"
","
"
132.0359281,C3
132.0359281,C3
306.25,D#4
146.0264901,D3
294,D4
147.9865772,D3
147.9865772,D3
294,D4
294,D4
147.9865772,D3
147.9865772,D3
147.9865772,D3
"
","
"
294,D4
147,D3
147.9865772,D3
147.9865772,D3
162.1323529,E3
329.1044776,E4
165.7894737,E3
167.0454545,E3
165.7894737,E3
165.7894737,E3
"
","
"
165.7894737,E3
165.7894737,E3
165.7894737,E3
165.7894737,E3
165.7894737,E3
165.7894737,E3
165.7894737,E3
165.7894737,E3
344.53125,F4
175,F3
175,F3
"
","
"
175,F3
175,F3
350,F4
176.4,F3
175,F3
175,F3
175,F3
175,F3
175,F3
175,F3
175,F3
180.7377049,F#3
"
","
"
193.4210526,G3
193.4210526,G3
195.1327434,G3
195.1327434,G3
195.1327434,G3
195.1327434,G3
196.875,G3
195.1327434,G3
196.875,G3
195.1327434,G3
198.6486486,G3
"
","
"
196.875,G3
198.6486486,G3
176.4,F3
176.4,F3
350,F4
175,F3
175,F3
175,F3
175,F3
175,F3
175,F3
"
","
"
175,F3
175,F3
176.4,F3
176.4,F3
175,F3
169.6153846,E3
339.2307692,E4
164.5522388,E3
168.3206107,E3
164.5522388,E3
334.0909091,E4
"
","
"
329.1044776,E4
165.7894737,E3
165.7894737,E3
165.7894737,E3
334.0909091,E4
165.7894737,E3
167.0454545,E3
"
","
"
