pitch,nota
250.65719360568386,B3
250.64977354133984,B3
250.6089710387285,B3
262.58547704330834,C4
262.58547704330834,C4
220.57833037300176,A3
196.9341749323715,G3
262.58547704330834,C4
262.6025791324736,C4
220.57180071637902,A3
196.93910778248127,G3
262.56410256410254,C4
298.04145676358957,D4
290.1751749772629,D4
250.64349536847283,B3
250.65719360568386,B3
245.08703374777977,B3
262.6025791324736,C4
262.54273156438217,C4
220.57833037300176,A3
196.9449378330373,G3
262.58547704330834,C4
262.5932504440497,C4
220.57833037300176,A3
196.9449378330373,G3
262.56410256410254,C4
298.045738045738,D4
290.16221262691096,D4
262.57889990982864,C4
262.5932504440497,C4
441.1566607460035,A4
441.1566607460035,A4
393.87821556496255,G4
393.8898756660746,G4
334.22146435042094,E4
334.22146435042094,E4
298.08941415037543,D4
262.6025791324736,C4
334.1779345947098,E4
393.8525657723366,G4
324.3222915165001,E4
245.0797785737545,B3
250.66609826281572,B3
250.66609826281572,B3
262.54273156438217,C4
262.5932504440497,C4
220.57833037300176,A3
196.9449378330373,G3
262.5932504440497,C4
262.5466169419286,C4
220.53915823122006,A3
196.88924256673658,G3
298.028409805154,D4
245.04786091033407,B3
262.5237922595849,C4
