fisier,pitch,nota
A3#.wav,234.5744681,A#3
A3#_10.wav,234.5744681,A#3
A3#_2.wav,116.6666667,A#2
A3#_3.wav,234.5744681,A#3
A3#_4.wav,234.5744681,A#3
A3#_5.wav,234.5744681,A#3
A3#_6.wav,234.5744681,A#3
A3#_7.wav,234.5744681,A#3
A3#_8.wav,234.5744681,A#3
A3#_9.wav,232.1052632,A#3
A3.wav,220.5,A3
A3_10.wav,220.5,A3
A3_2.wav,110.25,A2
A3_3.wav,220.5,A3
A3_4.wav,222.7272727,A3
A3_5.wav,220.5,A3
A3_6.wav,220.5,A3
A3_7.wav,220.5,A3
A3_8.wav,220.5,A3
A3_9.wav,220.5,A3
A4#.wav,469.1489362,A#4
A4#_10.wav,469.1489362,A#4
A4#_2.wav,469.1489362,A#4
A4#_3.wav,469.1489362,A#4
A4#_4.wav,469.1489362,A#4
A4#_5.wav,469.1489362,A#4
A4#_6.wav,469.1489362,A#4
A4#_7.wav,469.1489362,A#4
A4#_8.wav,469.1489362,A#4
A4#_9.wav,469.1489362,A#4
A4#_v1.wav,479.3478261,A#4
A4#_v2.wav,479.3478261,A#4
A4.wav,441,A4
A4_10.wav,441,A4
A4_2.wav,110.25,A2
A4_3.wav,441,A4
A4_4.wav,441,A4
A4_5.wav,441,A4
A4_6.wav,441,A4
A4_7.wav,441,A4
A4_8.wav,441,A4
A4_9.wav,441,A4
A4_v1.wav,432.3529412,A4
A4_v2.wav,432.3529412,A4
A5#.wav,310.5633803,D#4
A5#_10.wav,918.75,A#5
A5#_2.wav,918.75,A#5
A5#_3.wav,918.75,A#5
A5#_4.wav,918.75,A#5
A5#_5.wav,469.1489362,A#4
A5#_6.wav,918.75,A#5
A5#_7.wav,469.1489362,A#4
A5#_8.wav,469.1489362,A#4
A5#_9.wav,310.5633803,D#4
A5.wav,882,A5
A5_10.wav,882,A5
A5_2.wav,882,A5
A5_3.wav,882,A5
A5_4.wav,882,A5
A5_5.wav,882,A5
A5_6.wav,882,A5
A5_7.wav,882,A5
A5_8.wav,882,A5
A5_9.wav,882,A5
B3.wav,247.752809,B3
B3_10.wav,247.752809,B3
B3_2.wav,123.8764045,B2
B3_3.wav,247.752809,B3
B3_4.wav,247.752809,B3
B3_5.wav,247.752809,B3
B3_6.wav,247.752809,B3
B3_7.wav,247.752809,B3
B3_8.wav,247.752809,B3
B3_9.wav,247.752809,B3
B4.wav,501.1363636,B4
B4_10.wav,501.1363636,B4
B4_2.wav,98.87892377,G2
B4_4.wav,501.1363636,B4
B4_5.wav,501.1363636,B4
B4_6.wav,501.1363636,B4
B4_7.wav,501.1363636,B4
B4_8.wav,501.1363636,B4
B4_9.wav,490,B4
B4_v1.wav,490,B4
B4_v2.wav,490,B4
B5.wav,1002.272727,B5
B5_10.wav,1002.272727,B5
B5_2.wav,1002.272727,B5
B5_3.wav,1002.272727,B5
B5_4.wav,1002.272727,B5
B5_5.wav,1002.272727,B5
B5_6.wav,1002.272727,B5
B5_7.wav,1002.272727,B5
B5_8.wav,1002.272727,B5
B5_9.wav,1002.272727,B5
C3#.wav,138.6792453,C#3
C3#_10.wav,138.6792453,C#3
C3#_2.wav,138.6792453,C#3
C3#_3.wav,138.6792453,C#3
C3#_4.wav,139.556962,C#3
C3#_5.wav,138.6792453,C#3
C3#_6.wav,138.6792453,C#3
C3#_7.wav,138.6792453,C#3
C3#_8.wav,138.6792453,C#3
C3#_9.wav,138.6792453,C#3
C3.wav,131.25,C3
C3_10.wav,131.25,C3
C3_2.wav,130.4733728,C3
C3_3.wav,131.25,C3
C3_4.wav,131.25,C3
C3_5.wav,131.25,C3
C3_6.wav,131.25,C3
C3_7.wav,131.25,C3
C3_8.wav,131.25,C3
C3_9.wav,131.25,C3
C4#.wav,279.1139241,C#4
C4#_10.wav,279.1139241,C#4
C4#_2.wav,138.6792453,C#3
C4#_3.wav,279.1139241,C#4
C4#_4.wav,279.1139241,C#4
C4#_5.wav,279.1139241,C#4
C4#_6.wav,279.1139241,C#4
C4#_7.wav,279.1139241,C#4
C4#_8.wav,279.1139241,C#4
C4#_9.wav,279.1139241,C#4
C4#_v1.wav,279.1139241,C#4
C4#_v2.wav,310.5633803,D#4
C4.wav,262.5,C4
C4_10.wav,262.5,C4
C4_2.wav,131.25,C3
C4_3.wav,262.5,C4
C4_4.wav,262.5,C4
C4_5.wav,262.5,C4
C4_6.wav,262.5,C4
C4_7.wav,262.5,C4
C4_8.wav,262.5,C4
C4_9.wav,262.5,C4
C4_v1.wav,265.6626506,C4
C4_v2.wav,268.902439,C4
C5#.wav,565.3846154,C#5
C5#_10.wav,565.3846154,C#5
C5#_2.wav,551.25,C#5
C5#_3.wav,565.3846154,C#5
C5#_4.wav,565.3846154,C#5
C5#_5.wav,551.25,C#5
C5#_6.wav,565.3846154,C#5
C5#_7.wav,565.3846154,C#5
C5#_8.wav,551.25,C#5
C5#_9.wav,551.25,C#5
C5.wav,525,C5
C5_10.wav,525,C5
C5_2.wav,525,C5
C5_3.wav,525,C5
C5_4.wav,525,C5
C5_5.wav,525,C5
C5_6.wav,525,C5
C5_7.wav,525,C5
C5_8.wav,525,C5
C5_9.wav,525,C5
C6.wav,1050,C6
C6_10.wav,1050,C6
C6_2.wav,1050,C6
C6_3.wav,1050,C6
C6_4.wav,1050,C6
C6_5.wav,1050,C6
C6_6.wav,1050,C6
C6_7.wav,1050,C6
C6_8.wav,1050,C6
C6_9.wav,1050,C6
D3#.wav,156.3829787,D#3
D3#_10.wav,156.3829787,D#3
