fisier,pitch,nota
A3#_10_f.wav,234.5744680851064,A#3
A3#_5_f.wav,234.5744680851064,A#3
A3#_6_f.wav,234.5744680851064,A#3
A3#_7_f.wav,234.5744680851064,A#3
A3#_8_f.wav,234.5744680851064,A#3
A3#_9_f.wav,232.10526315789474,A#3
A3_10_f.wav,220.5,A3
A3_5_f.wav,220.5,A3
A3_6_f.wav,220.5,A3
A3_7_f.wav,220.5,A3
A3_8_f.wav,220.5,A3
A3_9_f.wav,220.5,A3
A4#_10_f.wav,469.1489361702128,A#4
A4#_5_f.wav,469.1489361702128,A#4
A4#_6_f.wav,469.1489361702128,A#4
A4#_7_f.wav,469.1489361702128,A#4
A4#_8_f.wav,469.1489361702128,A#4
A4#_9_f.wav,469.1489361702128,A#4
A4#_v2_f.wav,479.3478260869565,A#4
A4_10_f.wav,441.0,A4
A4_5_f.wav,441.0,A4
A4_6_f.wav,441.0,A4
A4_7_f.wav,441.0,A4
A4_8_f.wav,441.0,A4
A4_9_f.wav,441.0,A4
A4_v2_f.wav,432.3529411764706,A4
A5#_10_f.wav,918.75,A#5
A5#_5_f.wav,469.1489361702128,A#4
A5#_6_f.wav,918.75,A#5
A5#_7_f.wav,310.5633802816901,D#4
A5#_8_f.wav,469.1489361702128,A#4
A5#_9_f.wav,310.5633802816901,D#4
A5_10_f.wav,882.0,A5
A5_5_f.wav,882.0,A5
A5_6_f.wav,882.0,A5
A5_7_f.wav,882.0,A5
A5_8_f.wav,882.0,A5
A5_9_f.wav,882.0,A5
B3_10_f.wav,247.75280898876406,B3
B3_5_f.wav,247.75280898876406,B3
B3_6_f.wav,247.75280898876406,B3
B3_7_f.wav,247.75280898876406,B3
B3_8_f.wav,247.75280898876406,B3
B3_9_f.wav,247.75280898876406,B3
B4_10_f.wav,501.1363636363636,B4
B4_6_f.wav,501.1363636363636,B4
B4_7_f.wav,501.1363636363636,B4
B4_8_f.wav,247.75280898876406,B3
B4_9_f.wav,490.0,B4
B4_v2_f.wav,490.0,B4
B5_10_f.wav,1002.2727272727273,B5
B5_5_f.wav,1002.2727272727273,B5
B5_6_f.wav,1002.2727272727273,B5
B5_7_f.wav,1002.2727272727273,B5
B5_8_f.wav,1002.2727272727273,B5
B5_9_f.wav,1002.2727272727273,B5
C3#_10_f.wav,138.67924528301887,C#3
C3#_5_f.wav,138.67924528301887,C#3
C3#_6_f.wav,138.67924528301887,C#3
C3#_7_f.wav,138.67924528301887,C#3
C3#_8_f.wav,138.67924528301887,C#3
C3#_9_f.wav,138.67924528301887,C#3
C3_10_f.wav,131.25,C3
C3_5_f.wav,131.25,C3
C3_6_f.wav,131.25,C3
C3_7_f.wav,131.25,C3
C3_8_f.wav,131.25,C3
C3_9_f.wav,131.25,C3
C4#_10_f.wav,279.11392405063293,C#4
C4#_5_f.wav,279.11392405063293,C#4
C4#_6_f.wav,279.11392405063293,C#4
C4#_7_f.wav,279.11392405063293,C#4
C4#_8_f.wav,275.625,C#4
C4#_9_f.wav,279.11392405063293,C#4
C4#_v2_f.wav,310.5633802816901,D#4
C4_10_f.wav,262.5,C4
C4_5_f.wav,262.5,C4
C4_6_f.wav,262.5,C4
C4_7_f.wav,262.5,C4
C4_8_f.wav,262.5,C4
C4_9_f.wav,262.5,C4
C4_v2_f.wav,268.9024390243902,C4
C5#_10_f.wav,565.3846153846154,C#5
C5#_5_f.wav,551.25,C#5
C5#_6_f.wav,565.3846153846154,C#5
C5#_7_f.wav,551.25,C#5
C5#_8_f.wav,551.25,C#5
C5#_9_f.wav,551.25,C#5
C5_10_f.wav,525.0,C5
C5_5_f.wav,525.0,C5
C5_6_f.wav,525.0,C5
C5_7_f.wav,525.0,C5
C5_8_f.wav,525.0,C5
C5_9_f.wav,525.0,C5
C6_10_f.wav,1050.0,C6
C6_5_f.wav,1050.0,C6
C6_6_f.wav,1050.0,C6
C6_7_f.wav,1050.0,C6
C6_8_f.wav,1050.0,C6
C6_9_f.wav,1050.0,C6
D3#_10_f.wav,156.38297872340425,D#3
D3#_5_f.wav,155.28169014084506,D#3
D3#_6_f.wav,156.38297872340425,D#3
D3#_7_f.wav,156.38297872340425,D#3
D3#_8_f.wav,155.28169014084506,D#3
D3#_9_f.wav,155.28169014084506,D#3
D3_10_f.wav,147.0,D3
D3_5_f.wav,147.0,D3
D3_6_f.wav,147.0,D3
D3_7_f.wav,147.0,D3
D3_8_f.wav,147.0,D3
D3_9_f.wav,147.0,D3
D4#_10_f.wav,310.5633802816901,D#4
D4#_5_f.wav,310.5633802816901,D#4
D4#_6_f.wav,310.5633802816901,D#4
D4#_7_f.wav,310.5633802816901,D#4
D4#_8_f.wav,310.5633802816901,D#4
D4#_9_f.wav,310.5633802816901,D#4
D4#_v2_f.wav,310.5633802816901,D#4
D4_10_f.wav,294.0,D4
D4_5_f.wav,294.0,D4
D4_6_f.wav,294.0,D4
D4_7_f.wav,294.0,D4
D4_8_f.wav,294.0,D4
D4_9_f.wav,294.0,D4
D4_v2_f.wav,290.13157894736844,D4
D5#_10_f.wav,630.0,D#5
D5#_5_f.wav,630.0,D#5
D5#_6_f.wav,630.0,D#5
D5#_7_f.wav,630.0,D#5
D5#_8_f.wav,630.0,D#5
D5#_9_f.wav,310.5633802816901,D#4
D5_10_f.wav,595.9459459459459,D5
D5_5_f.wav,595.9459459459459,D5
D5_6_f.wav,595.9459459459459,D5
D5_7_f.wav,595.9459459459459,D5
D5_8_f.wav,294.0,D4
D5_9_f.wav,294.0,D4
E3_10_f.wav,165.78947368421052,E3
E3_5_f.wav,165.78947368421052,E3
E3_6_f.wav,165.78947368421052,E3
E3_7_f.wav,165.78947368421052,E3
E3_8_f.wav,165.78947368421052,E3
E3_9_f.wav,164.55223880597015,E3
E4_10_f.wav,329.1044776119403,E4
E4_5_f.wav,165.78947368421052,E3
E4_6_f.wav,329.1044776119403,E4
E4_7_f.wav,165.78947368421052,E3
E4_8_f.wav,329.1044776119403,E4
E4_9_f.wav,329.1044776119403,E4
E4_v2_f.wav,324.2647058823529,E4
E5_10_f.wav,668.1818181818181,E5
E5_5_f.wav,668.1818181818181,E5
E5_6_f.wav,668.1818181818181,E5
E5_7_f.wav,668.1818181818181,E5
E5_8_f.wav,668.1818181818181,E5
E5_9_f.wav,668.1818181818181,E5
F3#_10_f.wav,186.864406779661,F#3
F3#_5_f.wav,185.2941176470588,F#3
F3#_6_f.wav,186.864406779661,F#3
F3#_7_f.wav,186.864406779661,F#3
F3#_8_f.wav,185.2941176470588,F#3
F3#_9_f.wav,185.2941176470588,F#3
F3_10_f.wav,175.0,F3
F3_5_f.wav,175.0,F3
F3_6_f.wav,175.0,F3
F3_7_f.wav,175.0,F3
F3_8_f.wav,175.0,F3
F3_9_f.wav,175.0,F3
F4#_10_f.wav,373.728813559322,F#4
F4#_5_f.wav,373.728813559322,F#4
F4#_6_f.wav,373.728813559322,F#4
F4#_7_f.wav,373.728813559322,F#4
F4#_8_f.wav,185.2941176470588,F#3
F4#_9_f.wav,185.2941176470588,F#3
F4#_v2_f.wav,367.5,F#4
F4_10_f.wav,350.0,F4
F4_5_f.wav,350.0,F4
F4_6_f.wav,350.0,F4
F4_7_f.wav,350.0,F4
F4_8_f.wav,350.0,F4
F4_9_f.wav,350.0,F4
F4_v2_f.wav,339.2307692307692,E4
F5#_10_f.wav,735.0,F#5
F5#_5_f.wav,735.0,F#5
F5#_6_f.wav,735.0,F#5
F5#_7_f.wav,735.0,F#5
F5#_8_f.wav,735.0,F#5
F5#_9_f.wav,735.0,F#5
F5_10_f.wav,689.0625,F5
F5_5_f.wav,711.2903225806451,F5
F5_6_f.wav,689.0625,F5
F5_7_f.wav,711.2903225806451,F5
F5_8_f.wav,711.2903225806451,F5
F5_9_f.wav,350.0,F4
G3#_10_f.wav,208.0188679245283,G#3
G3#_5_f.wav,208.0188679245283,G#3
G3#_6_f.wav,210.0,G#3
G3#_7_f.wav,208.0188679245283,G#3
G3#_8_f.wav,208.0188679245283,G#3
G3#_9_f.wav,208.0188679245283,G#3
G3_10_f.wav,196.875,G3
G3_5_f.wav,196.875,G3
G3_6_f.wav,196.875,G3
G3_7_f.wav,196.875,G3
G3_8_f.wav,196.875,G3
G3_9_f.wav,196.875,G3
G4#_10_f.wav,208.0188679245283,G#3
G4#_5_f.wav,416.0377358490566,G#4
G4#_6_f.wav,416.0377358490566,G#4
G4#_7_f.wav,416.0377358490566,G#4
G4#_8_f.wav,416.0377358490566,G#4
G4#_9_f.wav,416.0377358490566,G#4
G4#_v2_f.wav,408.3333333333333,G#4
G4_10_f.wav,393.75,G4
G4_5_f.wav,393.75,G4
G4_6_f.wav,393.75,G4
G4_7_f.wav,393.75,G4
G4_8_f.wav,393.75,G4
G4_9_f.wav,393.75,G4
G4_v2_f.wav,386.8421052631579,G4
G5#_10_f.wav,816.6666666666666,G#5
G5#_5_f.wav,416.0377358490566,G#4
G5#_6_f.wav,416.0377358490566,G#4
G5#_7_f.wav,416.0377358490566,G#4
G5#_8_f.wav,416.0377358490566,G#4
G5#_9_f.wav,416.0377358490566,G#4
G5_10_f.wav,787.5,G5
G5_5_f.wav,787.5,G5
G5_6_f.wav,787.5,G5
G5_7_f.wav,787.5,G5
G5_8_f.wav,787.5,G5
G5_9_f.wav,787.5,G5
