fisier,pitch,nota
A3#.wav,234.58204086623002,A#3
A3#_10.wav,234.59191245694282,A#3
A3#_2.wav,116.05625822368421,A#2
A3#_3.wav,234.58319481382975,A#3
A3#_4.wav,234.59890292553192,A#3
A3#_5.wav,234.60141827675218,A#3
A3#_6.wav,234.60182051841852,A#3
A3#_7.wav,234.58986819461825,A#3
A3#_8.wav,234.60141827675218,A#3
A3#_9.wav,116.07074499108704,A#2
A3.wav,220.5048253676471,A3
A3_10.wav,220.51639770952627,A3
A3_2.wav,220.50596074826993,A3
A3_3.wav,220.50946514423072,A3
A3_4.wav,220.521533203125,A3
A3_5.wav,220.52871093749997,A3
A3_6.wav,220.52824026639345,A3
A3_7.wav,220.51524474557522,A3
A3_8.wav,220.52871093749997,A3
A3_9.wav,220.53932584269666,A3
A4#.wav,459.4270125679348,A#4
A4#_10.wav,459.4137756394024,A#4
A4#_2.wav,459.39109357483176,A#4
A4#_3.wav,459.3983043323863,A#4
A4#_4.wav,459.4270125679348,A#4
A4#_5.wav,459.44146050347223,A#4
A4#_6.wav,459.41162109375,A#4
A4#_7.wav,459.42281669615903,A#4
A4#_8.wav,459.43124770417535,A#4
A4#_9.wav,116.06712547573505,A#2
A4#_v1.wav,479.391855463836,A#4
A4#_v2.wav,479.37838309760775,A#4
A4.wav,441.018424131016,A4
A4_10.wav,441.03130545893373,A4
A4_2.wav,441.02376077586206,A4
A4_3.wav,441.02443484042556,A4
A4_4.wav,441.07330452127655,A4
A4_5.wav,441.06380208333337,A4
A4_6.wav,441.03515625,A4
A4_7.wav,441.043036986435,A4
A4_8.wav,441.0671539515761,A4
A4_9.wav,441.0764695682331,A4
A4_v1.wav,441.02899980272247,A4
A4_v2.wav,424.07286069977727,G#4
A5#.wav,306.2646783934049,D#4
A5#_10.wav,306.26336635824026,D#4
A5#_2.wav,116.05669732416801,A#2
A5#_3.wav,306.26336635824026,D#4
A5#_4.wav,306.2978515625,D#4
A5#_5.wav,186.88526218220338,F#3
A5#_6.wav,306.27322891383494,D#4
A5#_7.wav,116.06178977272727,A#2
A5#_8.wav,459.4323716747846,A#4
A5#_9.wav,116.0690999529475,A#2
A5.wav,848.0990084134615,G#5
A5_10.wav,848.1652000544474,G#5
A5_2.wav,848.1089308110367,G#5
A5_3.wav,848.1150012433687,G#5
A5_4.wav,848.2149564302886,G#5
A5_5.wav,848.1973885489512,G#5
A5_6.wav,848.1360802283654,G#5
A5_7.wav,848.1623544180208,G#5
A5_8.wav,848.2092903194822,G#5
A5_9.wav,848.1972688869239,G#5
B3.wav,245.00539172535207,B3
B3_10.wav,245.01821967725144,B3
B3_2.wav,123.87994949222126,B2
B3_3.wav,250.57822060751747,B3
B3_4.wav,250.5982981861888,B3
B3_5.wav,245.02944711538458,B3
B3_6.wav,245.0324417372881,B3
B3_7.wav,245.0187653186274,B3
B3_8.wav,245.03038194444443,B3
B3_9.wav,245.04133625780324,B3
B4.wav,501.14787871824876,B4
B4_10.wav,501.17193802151564,B4
B4_2.wav,501.1531667601444,B4
B4_4.wav,501.2027217353621,B4
B4_5.wav,501.1956837551653,B4
B4_6.wav,501.1803538368233,B4
