pitch,nota
262.5,C4
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
132.03592814371257,C3
306.25,D#4
146.02649006622516,D3
294.0,D4
147.98657718120805,D3
147.98657718120805,D3
294.0,D4
294.0,D4
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
294.0,D4
147.0,D3
147.98657718120805,D3
147.98657718120805,D3
162.13235294117646,E3
329.1044776119403,E4
165.78947368421052,E3
167.04545454545453,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
344.53125,F4
175.0,F3
175.0,F3
175.0,F3
175.0,F3
350.0,F4
176.4,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
180.7377049180328,F#3
193.42105263157896,G3
193.42105263157896,G3
195.13274336283186,G3
195.13274336283186,G3
195.13274336283186,G3
195.13274336283186,G3
196.875,G3
195.13274336283186,G3
196.875,G3
195.13274336283186,G3
198.64864864864865,G3
196.875,G3
198.64864864864865,G3
176.4,F3
176.4,F3
350.0,F4
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
175.0,F3
176.4,F3
176.4,F3
175.0,F3
169.6153846153846,E3
339.2307692307692,E4
164.55223880597015,E3
168.3206106870229,E3
164.55223880597015,E3
334.09090909090907,E4
329.1044776119403,E4
165.78947368421052,E3
165.78947368421052,E3
165.78947368421052,E3
334.09090909090907,E4
165.78947368421052,E3
167.04545454545453,E3
165.78947368421052,E3
297.97297297297297,D4
148.98648648648648,D3
148.98648648648648,D3
150.0,D3
148.98648648648648,D3
148.98648648648648,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
147.98657718120805,D3
265.66265060240966,C4
132.83132530120483,C3
132.03592814371257,C3
132.03592814371257,C3
131.25,C3
131.25,C3
132.03592814371257,C3
132.83132530120483,C3
