pitch,nota
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
"
","
"
247.75280898876406,B3
247.75280898876406,B3
245.0,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
"
","
"
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
250.5681818181818,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
"
","
"
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
262.5,C4
262.5,C4
"
","
"
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
265.66265060240966,C4
262.5,C4
"
","
"
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
"
","
"
262.5,C4
262.5,C4
2004.5454545454545,B6
222.72727272727272,A3
222.72727272727272,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
"
","
"
220.5,A3
220.5,A3
220.5,A3
222.72727272727272,A3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
"
","
"
198.64864864864865,G3
196.875,G3
196.875,G3
196.875,G3
196.875,G3
196.875,G3
196.875,G3
265.66265060240966,C4
"
","
"
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
"
","
"
262.5,C4
265.66265060240966,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
"
","
"
262.5,C4
262.5,C4
222.72727272727272,A3
222.72727272727272,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
220.5,A3
"
","
"
222.72727272727272,A3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
198.64864864864865,G3
196.875,G3
196.875,G3
196.875,G3
196.875,G3
196.875,G3
191.7391304347826,G3
"
","
"
262.5,C4
262.5,C4
262.5,C4
262.5,C4
262.5,C4
