pitch,nota
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
262.5,C4
262.5,C4
220.5,A3
196.875,G3
262.5,C4
262.5,C4
220.5,A3
65.625,C2
262.5,C4
294.0,D4
294.0,D4
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
262.5,C4
262.5,C4
220.5,A3
196.875,G3
262.5,C4
262.5,C4
220.5,A3
196.875,G3
65.625,C2
294.0,D4
294.0,D4
262.5,C4
87.5,F2
220.5,A3
441.0,A4
393.75,G4
65.625,C2
334.09090909090907,E4
329.1044776119403,E4
294.0,D4
262.5,C4
329.1044776119403,E4
393.75,G4
165.78947368421052,E3
247.75280898876406,B3
247.75280898876406,B3
247.75280898876406,B3
262.5,C4
262.5,C4
220.5,A3
65.625,C2
262.5,C4
262.5,C4
220.5,A3
196.875,G3
98.0,G2
247.75280898876406,B3
262.5,C4
